algorithm,split_seed,representation_A,representation_B,MAE_A,MAE_B,delta_MAE_B_minus_A
rf,5,physchem10,morgan_r2_2048,0.3098911307183696,0.40220638346788662,0.092315252749517018
rf,1,rdkit2d,morgan_r2_2048,0.31236170704167709,0.42301222312134151,0.11065051607966442
rf,2,rdkit2d,morgan_r2_2048,0.31037567069480798,0.41133218583597431,0.10095651514116633
rf,3,rdkit2d,morgan_r2_2048,0.3069931564990801,0.47827970563990152,0.17128654914082142
rf,4,rdkit2d,morgan_r2_2048,0.30970052162805711,0.42725127903543891,0.1175507574073818
rf,5,rdkit2d,morgan_r2_2048,0.30206309895176731,0.40220638346788662,0.10014328451611931
et,1,physchem10,rdkit2d,0.2952480083991556,0.30369693732081798,0.0084489289216623797
et,2,physchem10,rdkit2d,0.29241482449871992,0.3005622482072649,0.0081474237085449874
et,3,physchem10,rdkit2d,0.30029538605792228,0.29665366145054972,-0.003641724607372554
et,4,physchem10,rdkit2d,0.29150641038244418,0.3034164770103786,0.011910066627934424
et,5,physchem10,rdkit2d,0.2828431326333587,0.28424099907173361,0.0013978664383749173
et,1,physchem10,morgan_r2_2048,0.2952480083991556,0.40765051493188992,0.11240250653273431
et,2,physchem10,morgan_r2_2048,0.29241482449871992,0.3938766443052879,0.10146181980656799
et,3,physchem10,morgan_r2_2048,0.30029538605792228,0.44203683735199162,0.14174145129406934
et,4,physchem10,morgan_r2_2048,0.29150641038244418,0.41086492084970022,0.11935851046725604
et,5,physchem10,morgan_r2_2048,0.2828431326333587,0.40255413103536902,0.11971099840201033
et,1,rdkit2d,morgan_r2_2048,0.30369693732081798,0.40765051493188992,0.10395357761107193
et,2,rdkit2d,morgan_r2_2048,0.3005622482072649,0.3938766443052879,0.093314396098023
et,3,rdkit2d,morgan_r2_2048,0.29665366145054972,0.44203683735199162,0.1453831759014419
et,4,rdkit2d,morgan_r2_2048,0.3034164770103786,0.41086492084970022,0.10744844383932162
et,5,rdkit2d,morgan_r2_2048,0.28424099907173361,0.40255413103536902,0.11831313196363541
xgb,1,physchem10,rdkit2d,0.33098269043756828,0.31075698522315393,-0.020225705214414358
xgb,2,physchem10,rdkit2d,0.33926175587969781,0.27317944668280641,-0.066082309196891398
xgb,3,physchem10,rdkit2d,0.33512571978494837,0.30653228796269338,-0.028593431822254989
xgb,4,physchem10,rdkit2d,0.31942050853217829,0.29566782964370231,-0.023752678888475987
xgb,5,physchem10,rdkit2d,0.32070897539602428,0.30425841812321591,-0.016450557272808364
xgb,1,physchem10,morgan_r2_2048,0.33098269043756828,0.40789201154617483,0.076909321108606543
xgb,2,physchem10,morgan_r2_2048,0.33926175587969781,0.42865994658880552,0.089398190709107705
xgb,3,physchem10,morgan_r2_2048,0.33512571978494837,0.49524897907818799,0.16012325929323962
xgb,4,physchem10,morgan_r2_2048,0.31942050853217829,0.38067227096550921,0.061251762433330914
xgb,5,physchem10,morgan_r2_2048,0.32070897539602428,0.41852008333089641,0.097811107934872132
xgb,1,rdkit2d,morgan_r2_2048,0.31075698522315393,0.40789201154617483,0.097135026323020901
xgb,2,rdkit2d,morgan_r2_2048,0.27317944668280641,0.42865994658880552,0.1554804999059991
xgb,3,rdkit2d,morgan_r2_2048,0.30653228796269338,0.49524897907818799,0.18871669111549461
xgb,4,rdkit2d,morgan_r2_2048,0.29566782964370231,0.38067227096550921,0.085004441321806901
xgb,5,rdkit2d,morgan_r2_2048,0.30425841812321591,0.41852008333089641,0.1142616652076805
