representation,split_seed,algorithm_A,algorithm_B,MAE_A,MAE_B,delta_MAE_B_minus_A
physchem10,3,et,xgb,0.30029538605792228,0.33512571978494837,0.034830333727026097
physchem10,4,et,xgb,0.29150641038244418,0.31942050853217829,0.027914098149734112
physchem10,5,et,xgb,0.2828431326333587,0.32070897539602428,0.03786584276266558
rdkit2d,1,svr,rf,0.3329441669087071,0.31236170704167709,-0.020582459867030001
rdkit2d,2,svr,rf,0.32610983319254749,0.31037567069480798,-0.015734162497739512
rdkit2d,3,svr,rf,0.32671223962843982,0.3069931564990801,-0.019719083129359716
rdkit2d,4,svr,rf,0.31116497624290201,0.30970052162805711,-0.0014644546148449011
rdkit2d,5,svr,rf,0.30041394914220038,0.30206309895176731,0.0016491498095669299
rdkit2d,1,svr,et,0.3329441669087071,0.30369693732081798,-0.029247229587889112
rdkit2d,2,svr,et,0.32610983319254749,0.3005622482072649,-0.02554758498528259
rdkit2d,3,svr,et,0.32671223962843982,0.29665366145054972,-0.030058578177890094
rdkit2d,4,svr,et,0.31116497624290201,0.3034164770103786,-0.0077484992325234092
rdkit2d,5,svr,et,0.30041394914220038,0.28424099907173361,-0.016172950070466763
rdkit2d,1,svr,xgb,0.3329441669087071,0.31075698522315393,-0.02218718168555317
rdkit2d,2,svr,xgb,0.32610983319254749,0.27317944668280641,-0.052930386509741079
rdkit2d,3,svr,xgb,0.32671223962843982,0.30653228796269338,-0.020179951665746432
rdkit2d,4,svr,xgb,0.31116497624290201,0.29566782964370231,-0.015497146599199707
rdkit2d,5,svr,xgb,0.30041394914220038,0.30425841812321591,0.0038444689810155364
rdkit2d,1,rf,et,0.31236170704167709,0.30369693732081798,-0.0086647697208591112
rdkit2d,2,rf,et,0.31037567069480798,0.3005622482072649,-0.0098134224875430776
rdkit2d,3,rf,et,0.3069931564990801,0.29665366145054972,-0.010339495048530378
rdkit2d,4,rf,et,0.30970052162805711,0.3034164770103786,-0.0062840446176785081
rdkit2d,5,rf,et,0.30206309895176731,0.28424099907173361,-0.017822099880033693
rdkit2d,1,rf,xgb,0.31236170704167709,0.31075698522315393,-0.0016047218185231693
rdkit2d,2,rf,xgb,0.31037567069480798,0.27317944668280641,-0.037196224012001566
rdkit2d,3,rf,xgb,0.3069931564990801,0.30653228796269338,-0.00046086853638671599
rdkit2d,4,rf,xgb,0.30970052162805711,0.29566782964370231,-0.014032691984354806
rdkit2d,5,rf,xgb,0.30206309895176731,0.30425841812321591,0.0021953191714486064
rdkit2d,1,et,xgb,0.30369693732081798,0.31075698522315393,0.0070600479023359419
rdkit2d,2,et,xgb,0.3005622482072649,0.27317944668280641,-0.027382801524458489
rdkit2d,3,et,xgb,0.29665366145054972,0.30653228796269338,0.0098786265121436623
rdkit2d,4,et,xgb,0.3034164770103786,0.29566782964370231,-0.0077486473666762978
rdkit2d,5,et,xgb,0.28424099907173361,0.30425841812321591,0.020017419051482299
morgan_r2_2048,1,svr,rf,0.40189501424392271,0.42301222312134151,0.021117208877418803
morgan_r2_2048,2,svr,rf,0.40507126074045779,0.41133218583597431,0.0062609250955165119
morgan_r2_2048,3,svr,rf,0.41445533288149661,0.47827970563990152,0.063824372758404913
