experiment_id,representation,algorithm,benchmark_protocol,split_seed,model_seed,run_name,MAE,RMSE,R2,Pearson_r,Spearman_rho
B12_PC10_RF,physchem10,rf,tdc_compatible_5split,3,,split_seed_3,0.3306218485852776,0.42466517199498865,0.61719958303887146,0.80092687611776592,0.76012136943252806
B12_PC10_RF,physchem10,rf,tdc_compatible_5split,4,,split_seed_4,0.30395768031091275,0.39539596941035088,0.6681486501819105,0.82546188801470732,0.80411811366238772
B12_PC10_RF,physchem10,rf,tdc_compatible_5split,5,,split_seed_5,0.3098911307183696,0.39603311627462084,0.66707828821316872,0.82229871102534791,0.77968090758290642
B13_PC10_ET,physchem10,et,tdc_compatible_5split,1,,split_seed_1,0.29524800839915566,0.36990391878186091,0.70955963272195555,0.84606464141653182,0.82057014552221508
B13_PC10_ET,physchem10,et,tdc_compatible_5split,2,,split_seed_2,0.29241482449871992,0.36626681034453584,0.71524310711435213,0.84807776089637921,0.81833724867223301
B13_PC10_ET,physchem10,et,tdc_compatible_5split,3,,split_seed_3,0.30029538605792239,0.38214024518347972,0.69002642757355415,0.83313256540205871,0.79901107267589477
B13_PC10_ET,physchem10,et,tdc_compatible_5split,4,,split_seed_4,0.29150641038244424,0.3805353520022946,0.69262458280576267,0.84065499771633012,0.82298554354394626
B13_PC10_ET,physchem10,et,tdc_compatible_5split,5,,split_seed_5,0.2828431326333587,0.35825671389680719,0.72756193391007962,0.85630819139037828,0.83196799192616511
B14_PC10_XGB,physchem10,xgb,tdc_compatible_5split,1,,split_seed_1,0.33098269043756839,0.41401468722040718,0.63615986110102751,0.80385774940349219,0.75437906480448147
B14_PC10_XGB,physchem10,xgb,tdc_compatible_5split,2,,split_seed_2,0.33926175587969781,0.42361472834898267,0.61909101641292463,0.7951482328367292,0.76100395706639767
B14_PC10_XGB,physchem10,xgb,tdc_compatible_5split,3,,split_seed_3,0.33512571978494843,0.43066013674223419,0.60631536911193207,0.79016244892966514,0.74258230873550557
B14_PC10_XGB,physchem10,xgb,tdc_compatible_5split,4,,split_seed_4,0.31942050853217835,0.39694722876961974,0.66553963346626011,0.82090808240482471,0.79998840135520799
B14_PC10_XGB,physchem10,xgb,tdc_compatible_5split,5,,split_seed_5,0.32070897539602439,0.39905317965552556,0.66198134918750562,0.82037766507771748,0.78404497931828876
B20_RDKIT2D_RIDGE,rdkit2d,ridge,tdc_compatible_5split,1,,split_seed_1,0.37668245392906446,0.43791281130979748,0.59294376215431677,0.78374938781060055,0.70217903539779347
B20_RDKIT2D_RIDGE,rdkit2d,ridge,tdc_compatible_5split,2,,split_seed_2,0.3848847574104432,0.45230628494618624,0.56574546993373176,0.77703261035627336,0.67795316145360729
B20_RDKIT2D_RIDGE,rdkit2d,ridge,tdc_compatible_5split,3,,split_seed_3,0.45684862383221403,0.5609941299497857,0.33197033781892715,0.68890775904020718,0.56461433467991018
B20_RDKIT2D_RIDGE,rdkit2d,ridge,tdc_compatible_5split,4,,split_seed_4,0.38488806870118608,0.45398799806875012,0.56251027639768614,0.77503431793287825,0.67970319083269604
B20_RDKIT2D_RIDGE,rdkit2d,ridge,tdc_compatible_5split,5,,split_seed_5,0.37599327424515072,0.44923007245658653,0.57163226191411542,0.77767633808412562,0.68443603750312054
B21_RDKIT2D_SVR,rdkit2d,svr,tdc_compatible_5split,1,,split_seed_1,0.3329441669087071,0.41280286060719013,0.63828667399140204,0.83359833529507699,0.81606430349246017
B21_RDKIT2D_SVR,rdkit2d,svr,tdc_compatible_5split,2,,split_seed_2,0.32610983319254755,0.41078190606615633,0.64181967663627026,0.83845794203339119,0.82038347340518825
B21_RDKIT2D_SVR,rdkit2d,svr,tdc_compatible_5split,3,,split_seed_3,0.32671223962843982,0.40197420073425721,0.65701472653631476,0.82753456555677052,0.79845959805271371
B21_RDKIT2D_SVR,rdkit2d,svr,tdc_compatible_5split,4,,split_seed_4,0.31116497624290207,0.39291884567093416,0.67229366896211862,0.84900884184515424,0.83375613584964259
B21_RDKIT2D_SVR,rdkit2d,svr,tdc_compatible_5split,5,,split_seed_5,0.30041394914220049,0.3642292089932998,0.71840259130337369,0.85625589872301877,0.8309429082104941
B22_RDKIT2D_RF,rdkit2d,rf,tdc_compatible_5split,1,,split_seed_1,0.31236170704167715,0.37802325261615116,0.69666945747205089,0.83507258678523755,0.80456495615417023
B22_RDKIT2D_RF,rdkit2d,rf,tdc_compatible_5split,2,,split_seed_2,0.31037567069480804,0.37668165858563579,0.69881866031340101,0.8376103224993724,0.81353703602295413
B22_RDKIT2D_RF,rdkit2d,rf,tdc_compatible_5split,3,,split_seed_3,0.30699315649908016,0.37635666807647317,0.69933813796867317,0.83694995708052278,0.80058489805480526
B22_RDKIT2D_RF,rdkit2d,rf,tdc_compatible_5split,4,,split_seed_4,0.30970052162805711,0.38217728417383146,0.68996633620810899,0.83117799621716892,0.81380211951235282
